方向,順序,站名,站牌ID,lat,lon
去程,1,吳興街站,1104600100,25.02324,121.56976
去程,2,松仁路,1104600200,25.02453,121.5695997
去程,3,吳興國小(松仁),1104600000,25.026234,121.568628
去程,4,信義國中(莊敬),1105000200,25.027607,121.56521
去程,5,臺北醫學大學,1105000300,25.028241,121.5634888
去程,6,景新里,1104900400,25.029526,121.5623852
去程,7,世貿中心(莊敬),1104900100,25.031399,121.561326
去程,8,信義光復路口,1105200260,25.0331,121.55813
去程,9,信義通化街口,1067900460,25.033193,121.5546221
去程,10,捷運信義安和站(信義),1068500360,25.033223,121.552849
去程,11,信義敦化路口,1068500260,25.033377,121.549449
去程,12,信義大安路口,1068400060,25.033383,121.5461666
去程,13,捷運大安站(信義),1068400260,25.033404,121.5438266
去程,14,師大附中,1065800360,25.033382,121.542275
去程,15,信義建國路口,1065800160,25.033595,121.538468
去程,16,捷運大安森林公園站,1065600460,25.03355,121.5359159
去程,17,信義新生路口,1065600360,25.033627,121.5331327
去程,18,信義永康街口,1065100260,25.033765,121.5301447
去程,19,捷運東門站,1005700060,25.034232,121.526986
去程,20,信義杭州路口,1004800860,25.035417,121.5246296
去程,21,中正紀念堂,1004800960,25.03739,121.52056
去程,22,臺大醫院,1005500300,25.041403,121.5185552
去程,23,臺北車站(忠孝),1004100760,25.04654,121.5167218
去程,24,臺北車站(重慶),1004400240,25.046565,121.5132058
去程,25,重慶南路一段,1000500042,25.044432,121.513114
去程,26,二二八和平公園,1004500060,25.042368,121.5125439
